tempo_s,T_processo_C,T_medida_C,u,T_filtrada_C
392.0,181.0662827564118,179.52287476553576,1.0,179.8378124833393
393.0,180.4106558618602,179.839692845209,0.5052102416719675,179.83809453761975
394.0,183.06819684270775,179.55936570831005,1.0,179.7962852132233
395.0,185.04481516038697,179.65696466131112,0.9067200704609093,179.77538713043648
396.0,180.93270815682283,180.21672298131472,0.0,179.84158750806822
397.0,176.91198130889342,180.67752006962735,0.0,179.96697739230208
398.0,174.01985760990397,180.47489348149625,0.1558880495145587,180.04316480568122
399.0,176.8194163296839,179.5912981529542,1.0,179.97538480777214
400.0,175.84799101434973,179.89753129803782,0.4436842571321574,179.963706781312
401.0,178.60692454736417,179.33329330353004,1.0,179.8691447596447
402.0,181.30454844631163,179.13571843944973,1.0,179.75913081161548
403.0,183.9422251475047,179.44189479938595,1.0,179.71154540978105
404.0,183.4584842829008,179.79140819284757,0.5405796208010969,179.72352482724102
405.0,182.15777473273394,179.99335884794434,0.4164218484179742,179.7639999303465
406.0,181.38035896162722,180.03669299584536,0.4905802167764381,179.80490389017135
407.0,177.34968431803551,180.54704382290558,0.0,179.91622488008147
408.0,180.07524688874582,179.93256030563415,1.0,179.91867519391437
409.0,182.33817955456738,179.78991913454618,0.9396907228357202,179.89936178500915
410.0,178.28622000891033,180.20528524208476,0.0,179.9452503035705
411.0,177.67572749415314,180.1163343654814,0.5027135228161217,179.97091291285716
412.0,176.2676268851223,180.14019020736157,0.3810373336258852,179.99630450703282
413.0,179.01723517656401,179.49473024281053,1.0,179.92106836739947
414.0,181.70574106152927,179.443729737298,1.0,179.84946757288424
415.0,180.46399621249978,179.85342077703876,0.41942407618400807,179.8500605535074
416.0,183.02212858168258,179.73700591714606,0.9852665094190866,179.8331023580532
417.0,178.9549701687563,180.26900346577403,0.0,179.89848752421133
418.0,176.66004096933796,180.26706302345693,0.25227718731643733,179.95377384909818
419.0,179.40092894779713,179.45154294109207,1.0,179.87843921289726
420.0,182.08090830451275,179.4532551008949,1.0,179.8146615960969
421.0,181.86111030857106,179.78209796074415,0.57396666162379,179.80977705079397
422.0,180.10617810883716,180.02884801976387,0.34296387106848547,179.84263769613946
423.0,178.7634766456273,180.09856992587328,0.3989487075479792,179.88102753059954
424.0,181.4576216090578,179.82579170069587,1.0,179.872742156114
425.0,180.34139803420703,179.9981278720648,0.437425202469243,179.89155001350662
426.0,179.82633531641164,180.02359965243363,0.5238785857780465,179.91135745934568
427.0,180.63393956525576,179.9360859207388,0.7205617550479899,179.91506672855465
428.0,180.0436811746112,180.00452883063477,0.5135743732875051,179.92848604386666
429.0,179.2941342985091,180.04439247028404,0.4877135725000574,179.94587200782928
430.0,179.29423328324305,180.00531062512331,0.5976619620384525,179.9547878004234
431.0,175.30991698805985,180.3571572446697,0.0,180.01514321706034
432.0,178.08080772165852,179.68139612354207,1.0,179.9650811530326
433.0,180.79012310562166,179.45927146464007,1.0,179.88920969977372
434.0,178.61115430957582,179.93287028885712,0.2757884242785291,179.89575878813622
435.0,181.30868421380748,179.4530321230676,1.0,179.82934978837594
436.0,182.35019844680497,179.6910634223131,0.7605894156623139,179.8086068334665
437.0,184.9646384813204,179.6238557133725,1.0,179.78089416545242
438.0,180.8543131817355,180.2435242371781,0.0,179.85028867621128
439.0,178.33849956321913,180.27209618007356,0.22547566782832867,179.91355980179063
440.0,178.89671039315908,180.05660014484658,0.6781932897017248,179.93501585324904
441.0,177.2386797967891,180.13434602608496,0.3476177785217015,179.96491537917444
442.0,179.96670913463825,179.58070063439882,1.0,179.9072831674581
443.0,182.63411559831295,179.3905994094699,1.0,179.82978060375987
444.0,178.57557969612822,180.06717143058168,0.0,179.86538922778314
445.0,181.27390014732538,179.76480424013397,1.0,179.85030147963576
446.0,182.14489417779117,179.8257315190729,0.7348954383942851,179.84661598555132
447.0,178.3041094095458,180.20003384538055,0.03103193202249649,179.89962866452572
448.0,176.0811819964095,180.23249186358169,0.26090791939470764,179.94955814438413
449.0,178.8349335076004,179.72544392114196,1.0,179.9159410108978
450.0,176.51310175536915,180.04870199256266,0.24784168219064612,179.93585515814752
451.0,179.25725504969427,179.42970962104224,1.0,179.8599333275817
452.0,178.76347765403065,179.7946537886568,0.523457574149437,179.85014139674297
453.0,181.4576225950522,179.56442568338585,1.0,179.8072840397394
454.0,180.24178765961503,179.90002698003465,0.4224835016679338,179.82119548078367
455.0,182.90308126717915,179.6195626375595,1.0,179.79095055430005
456.0,185.5052350167974,179.3679563512971,1.0,179.72750142384962
457.0,181.38289646086858,180.21806942861815,0.0,179.8010866245649
458.0,177.9776850467284,180.32258639365077,0.09382794274853268,179.8793115899278
459.0,178.68981693680004,180.06066117248002,0.7000787336665086,179.9065140273106
460.0,177.82272609908802,180.07242168525946,0.465569097465862,179.9314001760029
461.0,180.53777663021938,179.41596578019065,1.0,179.85408501663107
462.0,176.52582603843672,180.28756648358234,0.0,179.91910723667377
463.0,179.2696965709159,179.78232457568083,1.0,179.8985898375248
464.0,181.95259220267332,179.57723337444259,1.0,179.85038636806246
465.0,182.8666726432392,179.74259877366057,0.7436207067604624,179.8342182289022
466.0,183.79018332158017,179.80842989912247,0.7480821772286089,179.83034997943525
467.0,181.6570372386996,180.0618538831039,0.29266203197317964,179.86507556498555
468.0,177.6202141889507,180.5159514990377,0.0,179.96270695509335
469.0,180.3397649847518,179.81296120986644,1.0,179.94024509330933
470.0,176.3322146517573,180.26041610233474,0.0,179.98827074466317
471.0,177.29658669278558,180.02253906225613,0.7324298549934309,179.9934109923021
472.0,180.0233292107237,179.65302922629016,1.0,179.94235372740033
473.0,177.19188186742525,180.0575434733312,0.17536066254098037,179.95963218928995
474.0,179.92095115926026,179.4699299291841,1.0,179.88617685027407
475.0,180.24922896610323,179.7499950478356,0.6489781748906471,179.8657495799083
476.0,182.21645642659988,179.741141328311,0.8959148822948396,179.8470583421687
477.0,180.1833541510954,180.03400580026442,0.3024228467629917,179.87510046088306
478.0,182.84594628107104,179.63421603150425,1.0,179.83896779647625
479.0,178.78270303038056,180.23947463886637,0.0,179.89904382283476
480.0,181.47642074081654,179.85331534147016,1.0,179.89218455063008
481.0,177.44361139102062,180.47544733161675,0.0,179.97967396777807
482.0,176.49384326234085,180.25191374485232,0.4490134853347689,180.0205099343392
483.0,176.77885508178124,180.07076709001848,0.631064583790531,180.0280485076911
484.0,179.51710274663054,179.42453362899397,1.0,179.93752127588652
485.0,181.00538571206175,179.64805043754325,0.8216327873034498,179.89410065013502
486.0,183.55279429612375,179.6589527405511,0.9854625733161722,179.85882846369742
487.0,186.1405099784321,179.5640271825251,1.0,179.81460827152156
488.0,182.0040542011336,180.18612898290323,0.0,179.8703363782288
489.0,177.95951966333064,180.60649261608074,0.0,179.9807598139066
490.0,178.64920169796633,180.1848866797897,0.6966507040731211,180.01137884378906
491.0,181.3458861046782,179.85112279346686,1.0,179.98734043624074
492.0,177.31597752457424,180.23885028154524,0.0,180.02506691303643
493.0,180.04228913513924,179.82794018176799,1.0,179.99549790334615
494.0,179.29529459091026,179.97796551190737,0.4880917821494518,179.9928680446303
495.0,181.97762137777892,179.69327343817906,1.0,179.94792885366263
496.0,178.5002376599762,180.1244083651011,0.08498451358885406,179.9744007803784
497.0,179.64771038329016,179.95623142803547,0.7671217006970147,179.97167537752696
498.0,180.67454823905592,179.89712456805592,0.7528513796424983,179.9604927561063
499.0,179.0297858438205,180.07142618461674,0.3555341348448724,179.97713277038287
500.0,181.7180128250689,179.55193755546136,1.0,179.91335348814462
501.0,177.6798347622896,180.34569566315986,0.0,179.97820481439692
502.0,180.39806065646096,179.82654220668252,1.0,179.95545542323975
503.0,177.95123335612556,180.1027811094926,0.23430277380456177,179.9775542761777
504.0,180.6634281704339,179.44980869864887,1.0,179.8983924395484
505.0,183.31535198886868,179.42446538529538,1.0,179.82730338141045
506.0,179.62932668992892,180.02973077090337,0.058147378455262855,179.8576674898344
507.0,177.89771925674674,180.13009798090394,0.33902330732243796,179.89853206349483
508.0,175.26139162872906,180.2385989028767,0.19754325331983524,179.9495420894021
509.0,178.0333607036462,179.40790521861558,1.0,179.8682965587841
510.0,180.7437304657874,179.3843381901815,1.0,179.79570280349373
511.0,181.5466462830858,179.68080037244945,0.7229164741473875,179.77846743883708
512.0,182.69337673015067,179.77451579712408,0.7771650546700181,179.77787469258013
513.0,185.30019058059176,179.69844924217026,1.0,179.76596087501866
514.0,181.18240856768972,180.20461264645834,0.0,179.83175864073462
515.0,178.2267434154049,180.28943310845332,0.1605915890495795,179.90040981089243
516.0,175.62035875129538,180.29910036160922,0.20313144510158568,179.96021339349997
517.0,176.68753936752668,180.03147905077842,0.7454782882723442,179.97090324209174
518.0,179.15579558089505,179.8193774478222,0.959196896563676,179.9481743729513
519.0,179.31918812150974,179.90424536806003,0.6216948663618548,179.94158502221762
520.0,182.00098394103173,179.3763383175985,1.0,179.85679801652475
521.0,182.310830739989,179.71416204553924,0.6531469663136973,179.83540262087695
522.0,182.92654718356613,179.82755930894797,0.7000602356698646,179.83422612408762
523.0,178.8615128017091,180.54977996025787,0.0,179.94155919951316
524.0,181.55347918389333,179.82771653030252,1.0,179.92448279913157
525.0,182.22108459653575,179.87163532947216,0.7053190758426746,179.91655567868264
526.0,178.17172716105716,180.28862829228657,0.0,179.9723665707232
527.0,174.212355446367,180.42733767356572,0.0,180.0406122361496
528.0,177.00763643644774,179.7634169532016,1.0,179.9990329437074
529.0,179.74080007119335,179.5430538613806,1.0,179.93063608135836
530.0,182.41322673627795,179.28976132812835,1.0,179.83450486837387
531.0,183.89845447390866,179.59772144716936,0.8308282497655335,179.7989873551932
532.0,180.70976626102168,180.068290902487,0.13469161631331528,179.83938288728726
533.0,182.6846737349367,179.87580543411755,0.8986020086239893,179.8448462693118
534.0,178.62501431860477,180.48715896047727,0.0,179.9411931729866
535.0,181.32223622263578,179.94532457567053,1.0,179.9418128833892
536.0,177.2928531954661,180.3819560867747,0.0,180.00783436389702
537.0,180.0196786800113,179.73812657219347,1.0,179.9673781951415
538.0,178.23465429028963,180.02661855221905,0.332311937141783,179.97626424870313
539.0,180.94055086161652,179.5402915187746,1.0,179.91086833921383
540.0,181.6149505911892,179.76385439102484,0.7042951289746259,179.88881624698547
541.0,180.04221941055198,180.02048550360533,0.369473491541715,179.90856663547845
542.0,179.76924851368625,180.0279971742466,0.5591950968386487,179.92648121629367
543.0,180.55897065442363,179.952232491265,0.7176891494895598,179.93034390753937
544.0,176.54654908432533,180.4110023039037,0.0,180.002442666994
545.0,174.48274445047429,180.3216041751857,0.2789178018700943,180.05031689322277
546.0,177.2720167960193,179.46767581371392,1.0,179.96292073129644
547.0,179.9993053116633,179.22128662421375,1.0,179.85167561523403
548.0,182.66598741584858,179.43204942715295,1.0,179.78873168702188
549.0,183.91442768150068,179.67465900310575,0.7961526645673103,179.77162078443445
550.0,180.67717387685687,180.10499916334948,0.12746002157509845,179.8216275412717
551.0,183.32879223514894,179.66994766036723,1.0,179.79887555913604
552.0,183.90415486478167,179.81994500273325,0.6974003685620732,179.8020359756756
553.0,179.81739586778653,180.3629081197651,0.0,179.88616679728904
554.0,177.5658805427716,180.31187857462368,0.2616640208070487,179.95002356388923
555.0,176.79018455242863,180.18270577426574,0.4755318699244583,179.9849258954457
556.0,176.37646881312665,180.10413956628224,0.5272432542794638,180.0028079460712
557.0,179.12365839505716,179.69859949710815,1.0,179.95717667872674
558.0,181.80979931961144,179.58550308810803,1.0,179.90142564013394
559.0,182.67016662262176,179.76369924656808,0.7350877598502541,179.88076668109906
560.0,181.57973269130923,179.98005332378347,0.44533546571185756,179.89565967750173
561.0,182.8364849236369,179.89343899235854,0.7937786104868463,179.89532657473023
562.0,178.77345192533386,180.3274859078999,0.0,179.96015047470567
563.0,178.0765937718621,180.18179201935646,0.4913827833970141,179.9933967064033
564.0,176.8421345695247,180.16336234936614,0.40841976555559534,180.01889155284775
565.0,179.57897602353526,179.7498895727648,1.0,179.9785412558353
566.0,178.50720809109654,179.97613421293823,0.43783139687930883,179.97818019940073
567.0,181.2070479112944,179.6893641589547,1.0,179.9348577933338
568.0,183.84689129104342,179.47502996812003,1.0,179.86588361955177
569.0,179.76140481790912,180.086275004664,0.0,179.89894232731862
570.0,175.7667069330667,180.42099906246244,0.0,179.9772508375902
571.0,178.52744677899855,179.72270905518874,1.0,179.93906957022998
572.0,181.22683685057638,179.67672217642675,1.0,179.8997174611595
573.0,180.2352039797519,179.93872345551506,0.45534452554491617,179.90556836031283
574.0,181.7239041020931,179.86054625159835,0.8240890316170157,179.89881504400566
575.0,183.36985890231202,179.8168317844755,0.852639567039817,179.88651755507613
576.0,179.2949731489273,180.36831751764714,0.0,179.9587875494618
577.0,177.67432410158276,180.26632059179957,0.35455255339474157,180.00491750581244
578.0,179.74060928417876,179.95218102570354,0.9021905243946753,179.9970070337961
579.0,180.8299638109307,179.89737741565918,0.762538543293386,179.98206259107556
580.0,179.88261010957848,180.02613217611022,0.46066349083360364,179.98867302883076
581.0,182.18381923790898,179.8371988028713,0.9447900696148345,179.96595189493686
582.0,178.135289921511,180.32956152992213,0.0,180.02049334018466
583.0,180.84339458992187,179.85849983614287,1.0,179.9961943145784
584.0,181.90227259622617,179.86308850848425,0.7616430162453856,179.97622844366427
585.0,177.8599998718656,180.2771506596797,0.0,180.0213667760666
586.0,177.832206732061,180.11586286969035,0.5886976952688616,180.03554119011017
587.0,179.9736624527355,179.88980238718648,0.9139923805413815,180.0136803696716
588.0,182.64091439823028,179.38720814445412,1.0,179.91970953588896
589.0,178.58222741160293,180.21531664848962,0.0,179.96405060277905
590.0,176.98563614532648,180.20662117649664,0.3557854014305434,180.00043618883672
591.0,176.46489931631137,180.12387612905806,0.5118415961321557,180.01895217986993
592.0,179.2101237759489,179.3747082223692,1.0,179.92231558624482
593.0,181.89434324759446,179.34861191404661,1.0,179.8362600354151
594.0,184.5189133976479,179.44528413964886,1.0,179.77761365105016
595.0,182.8882588031251,179.89111849964834,0.3704648554804037,179.7946393783399
596.0,178.82407527416677,180.27230144751186,0.0,179.86628868871568
597.0,181.51687360140753,179.87938634980827,1.0,179.8682533378796
598.0,177.48316529915402,180.34502952601906,0.0,179.9397697661005
599.0,176.8092967395299,180.18909301822757,0.49053026705356384,179.97716825391956
600.0,176.52203153433288,179.91222403742077,0.921274541685545,179.96742662144476
601.0,176.7659863891255,179.57294264322334,1.0,179.90825402471157
602.0,177.0045200249227,179.2523570991658,1.0,179.8098694858797
603.0,177.23775291325774,179.44178481623513,1.0,179.75465678543299
